date,city,movie_title,cinema_name,time,format,language,event_type,availability,booking_url,scraped_at
2026-08-18,podlaska,Pucio kocha zwierzaki,Biała Podlaska,10:30,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1623119?lang=pl,2026-08-18T08:39:08.184595
2026-08-18,podlaska,Koniec ulicy Dębowej,Biała Podlaska,10:30,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1629015?lang=pl,2026-08-18T08:39:08.184631
2026-08-18,podlaska,Spider-Man: Całkiem nowy dzień,Biała Podlaska,11:50,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1621804?lang=pl,2026-08-18T08:39:08.184643
2026-08-18,podlaska,Flavia de Luce,Biała Podlaska,12:00,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1623223?lang=pl,2026-08-18T08:39:08.184655
2026-08-18,podlaska,Gdzie jest Nemo 3D,Biała Podlaska,12:10,3D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1595853?lang=pl,2026-08-18T08:39:08.184665
2026-08-18,podlaska,Koniec ulicy Dębowej,Biała Podlaska,13:00,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1629021?lang=pl,2026-08-18T08:39:08.184676
2026-08-18,podlaska,Psi patrol i dinozaury,Biała Podlaska,14:10,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1623663?lang=pl,2026-08-18T08:39:08.184686
2026-08-18,podlaska,Gdzie jest Dory,Biała Podlaska,14:40,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1595901?lang=pl,2026-08-18T08:39:08.184703
2026-08-18,podlaska,Spider-Man: Całkiem nowy dzień,Biała Podlaska,15:00,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1621809?lang=pl,2026-08-18T08:39:08.184716
2026-08-18,podlaska,Minionki i straszydła,Biała Podlaska,15:30,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1629307?lang=pl,2026-08-18T08:39:08.184727
2026-08-18,podlaska,Odzyskany,Biała Podlaska,16:20,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1622743?lang=pl,2026-08-18T08:39:08.184736
2026-08-18,podlaska,Wall-E,Biała Podlaska,17:10,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1595807?lang=pl,2026-08-18T08:39:08.184746
2026-08-18,podlaska,Koniec ulicy Dębowej,Biała Podlaska,17:40,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1629027?lang=pl,2026-08-18T08:39:08.184755
2026-08-18,podlaska,Spider-Man: Całkiem nowy dzień,Biała Podlaska,18:10,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1621814?lang=pl,2026-08-18T08:39:08.184764
2026-08-18,podlaska,Psi patrol i dinozaury,Biała Podlaska,18:30,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1622758?lang=pl,2026-08-18T08:39:08.184772
2026-08-18,podlaska,Odyseja,Biała Podlaska,19:30,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1628267?lang=pl,2026-08-18T08:39:08.184781
2026-08-18,podlaska,Wszyscy moi wrogowie,Biała Podlaska,20:10,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1630743?lang=pl,2026-08-18T08:39:08.184790
2026-08-18,podlaska,Tylko jedna noc,Biała Podlaska,20:40,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1622764?lang=pl,2026-08-18T08:39:08.184799
2026-08-18,podlaska,Spider-Man: Całkiem nowy dzień,Biała Podlaska,21:20,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1621819?lang=pl,2026-08-18T08:39:08.184808
2026-08-18,bielsko-biała,Spider-Man: Całkiem nowy dzień,Bielsko-Biała,10:30,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1621896?lang=pl,2026-08-18T08:39:09.542151
2026-08-18,bielsko-biała,Toy Story 5,Bielsko-Biała,10:40,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1625525?lang=pl,2026-08-18T08:39:09.542180
2026-08-18,bielsko-biała,Flavia de Luce,Bielsko-Biała,10:45,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1622084?lang=pl,2026-08-18T08:39:09.542191
2026-08-18,bielsko-biała,Gdzie jest Nemo 3D,Bielsko-Biała,11:00,3D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1633824?lang=pl,2026-08-18T08:39:09.542199
2026-08-18,bielsko-biała,Koniec ulicy Dębowej,Bielsko-Biała,11:15,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1633821?lang=pl,2026-08-18T08:39:09.542209
2026-08-18,bielsko-biała,Spider-Man: Całkiem nowy dzień,Bielsko-Biała,11:20,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1633822?lang=pl,2026-08-18T08:39:09.542217
2026-08-18,bielsko-biała,Minionki i straszydła,Bielsko-Biała,11:40,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1625351?lang=pl,2026-08-18T08:39:09.542226
2026-08-18,bielsko-biała,Spider-Man: Całkiem nowy dzień,Bielsko-Biała,12:10,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1624654?lang=pl,2026-08-18T08:39:09.542235
2026-08-18,bielsko-biała,Psi patrol i dinozaury,Bielsko-Biała,12:30,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1624142?lang=pl,2026-08-18T08:39:09.542242
2026-08-18,bielsko-biała,Vaiana,Bielsko-Biała,12:50,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1624958?lang=pl,2026-08-18T08:39:09.542251
2026-08-18,bielsko-biała,Flavia de Luce,Bielsko-Biała,13:00,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1622089?lang=pl,2026-08-18T08:39:09.542259
2026-08-18,bielsko-biała,Toy Story 5,Bielsko-Biała,13:10,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1625531?lang=pl,2026-08-18T08:39:09.542268
2026-08-18,bielsko-biała,Gdzie jest Dory,Bielsko-Biała,13:30,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1596281?lang=pl,2026-08-18T08:39:09.542276
