date,day_name,city,movie_title,cinema_name,time,format,language,event_type,scraped_at
2026-04-14,,bielsko-biała,David,Bielsko-Biała,11:10,2D,,regular,2026-04-14T09:21:59.724108
2026-04-14,,bielsko-biała,Pucio,Bielsko-Biała,11:20,2D,,regular,2026-04-14T09:21:59.724138
2026-04-14,,bielsko-biała,Hopnięci,Bielsko-Biała,11:20,2D,original,regular,2026-04-14T09:21:59.724158
2026-04-14,,bielsko-biała,Bluey w kinie: Kolekcja Zabawy z przyjaciółmi,Bielsko-Biała,12:00,2D,,regular,2026-04-14T09:21:59.724174
2026-04-14,,bielsko-biała,Super Mario Galaxy Film,Bielsko-Biała,12:20,2D,original,regular,2026-04-14T09:21:59.724190
2026-04-14,,bielsko-biała,Za duży na bajki 3,Bielsko-Biała,12:20,2D,original,regular,2026-04-14T09:21:59.724204
2026-04-14,,bielsko-biała,Projekt Hail Mary,Bielsko-Biała,12:30,2D,original,regular,2026-04-14T09:21:59.724218
2026-04-14,,bielsko-biała,Fleak. Futrzak i ja,Bielsko-Biała,12:40,2D,,regular,2026-04-14T09:21:59.724239
2026-04-14,,bielsko-biała,Zwierzogród 2,Bielsko-Biała,12:50,2D,original,regular,2026-04-14T09:21:59.724256
2026-04-14,,bielsko-biała,Super Mario Galaxy Film,Bielsko-Biała,13:20,2D,original,regular,2026-04-14T09:21:59.724271
2026-04-14,,bielsko-biała,Hopnięci,Bielsko-Biała,13:45,2D,original,regular,2026-04-14T09:21:59.724284
2026-04-14,,bielsko-biała,David,Bielsko-Biała,13:50,2D,,regular,2026-04-14T09:21:59.724297
2026-04-14,,bielsko-biała,Drama,Bielsko-Biała,13:50,2D,original,regular,2026-04-14T09:21:59.724309
2026-04-14,,bielsko-biała,Projekt Hail Mary,Bielsko-Biała,14:00,2D,original,regular,2026-04-14T09:21:59.724322
2026-04-14,,bielsko-biała,Super Mario Galaxy Film,Bielsko-Biała,14:40,2D,original,regular,2026-04-14T09:21:59.724335
2026-04-14,,bielsko-biała,Zabawa w pochowanego 2,Bielsko-Biała,14:40,2D,original,regular,2026-04-14T09:21:59.724349
2026-04-14,,bielsko-biała,Za duży na bajki 3,Bielsko-Biała,14:40,2D,original,regular,2026-04-14T09:21:59.724360
2026-04-14,,bielsko-biała,Projekt Hail Mary,Bielsko-Biała,15:20,2D,original,regular,2026-04-14T09:21:59.724372
2026-04-14,,bielsko-biała,Super Mario Galaxy Film,Bielsko-Biała,15:40,2D,original,regular,2026-04-14T09:21:59.724385
2026-04-14,,bielsko-biała,Projekt Hail Mary,Bielsko-Biała,15:50,2D,original,regular,2026-04-14T09:21:59.724397
2026-04-14,,bielsko-biała,Hopnięci,Bielsko-Biała,16:10,2D,original,regular,2026-04-14T09:21:59.724410
2026-04-14,,bielsko-biała,Drama,Bielsko-Biała,16:20,2D,original,regular,2026-04-14T09:21:59.724423
2026-04-14,,bielsko-biała,Król dopalaczy,Bielsko-Biała,16:30,2D,original,regular,2026-04-14T09:21:59.724437
2026-04-14,,bielsko-biała,Przepis na morderstwo,Bielsko-Biała,16:50,2D,original,regular,2026-04-14T09:21:59.724448
2026-04-14,,bielsko-biała,Super Mario Galaxy Film,Bielsko-Biała,17:00,2D,original,regular,2026-04-14T09:21:59.724460
2026-04-14,,bielsko-biała,Zabawa w pochowanego 2,Bielsko-Biała,17:00,2D,original,regular,2026-04-14T09:21:59.724473
2026-04-14,,bielsko-biała,Projekt Hail Mary,Bielsko-Biała,17:20,2D,original,regular,2026-04-14T09:21:59.724484
