date,city,movie_title,cinema_name,time,format,language,event_type,availability,booking_url,scraped_at
2026-06-22,podlaska,Toy Story 5,Biała Podlaska,15:30,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1514224?lang=pl,2026-06-22T13:37:20.761021
2026-06-22,podlaska,Backrooms. Bez wyjścia,Biała Podlaska,16:00,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1517936?lang=pl,2026-06-22T13:37:20.761057
2026-06-22,podlaska,Dzień objawienia,Biała Podlaska,16:20,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1514705?lang=pl,2026-06-22T13:37:20.761076
2026-06-22,podlaska,Toy Story 5,Biała Podlaska,18:00,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1514230?lang=pl,2026-06-22T13:37:20.761093
2026-06-22,podlaska,Ojczyzna,Biała Podlaska,18:10,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1519594?lang=pl,2026-06-22T13:37:20.761108
2026-06-22,podlaska,Robin Hood: Koniec legendy,Biała Podlaska,18:30,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1517941?lang=pl,2026-06-22T13:37:20.761124
2026-06-22,podlaska,Backrooms. Bez wyjścia,Biała Podlaska,19:30,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1514693?lang=pl,2026-06-22T13:37:20.761136
2026-06-22,podlaska,Straszny film,Biała Podlaska,20:15,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1519599?lang=pl,2026-06-22T13:37:20.761155
2026-06-22,podlaska,Dzień objawienia,Biała Podlaska,20:30,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1514236?lang=pl,2026-06-22T13:37:20.761169
2026-06-22,podlaska,Ojczyzna,Biała Podlaska,21:15,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1517946?lang=pl,2026-06-22T13:37:20.761179
2026-06-22,podlaska,Straszny film,Biała Podlaska,22:00,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1514711?lang=pl,2026-06-22T13:37:20.761190
2026-06-22,bielsko-biała,Backrooms. Bez wyjścia,Bielsko-Biała,15:30,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1512473?lang=pl,2026-06-22T13:37:22.764204
2026-06-22,bielsko-biała,Drugie życie,Bielsko-Biała,15:40,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1514200?lang=pl,2026-06-22T13:37:22.764232
2026-06-22,bielsko-biała,Obsesja,Bielsko-Biała,16:00,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1512797?lang=pl,2026-06-22T13:37:22.764249
2026-06-22,bielsko-biała,Toy Story 5,Bielsko-Biała,16:00,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1513133?lang=pl,2026-06-22T13:37:22.764264
2026-06-22,bielsko-biała,Robin Hood: Koniec legendy,Bielsko-Biała,16:10,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1512410?lang=pl,2026-06-22T13:37:22.764277
2026-06-22,bielsko-biała,Dzień objawienia,Bielsko-Biała,16:50,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1512587?lang=pl,2026-06-22T13:37:22.764290
2026-06-22,bielsko-biała,Backrooms. Bez wyjścia,Bielsko-Biała,17:00,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1512843?lang=pl,2026-06-22T13:37:22.764303
