date,city,movie_title,cinema_name,time,format,language,event_type,availability,booking_url,scraped_at
2026-04-08,bielsko-biała,Kicia Kocia na pikniku,Bielsko-Biała,11:00,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1341242?lang=pl,2026-04-08T09:05:18.011778
2026-04-08,bielsko-biała,Hopnięci,Bielsko-Biała,11:20,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1359710?lang=pl,2026-04-08T09:05:18.011816
2026-04-08,bielsko-biała,Pan Ryba,Bielsko-Biała,11:20,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1363763?lang=pl,2026-04-08T09:05:18.011830
2026-04-08,bielsko-biała,Bluey w kinie: Kolekcja Zabawy z przyjaciółmi,Bielsko-Biała,11:40,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1361883?lang=pl,2026-04-08T09:05:18.011842
2026-04-08,bielsko-biała,Wielka mała koza,Bielsko-Biała,11:40,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1363989?lang=pl,2026-04-08T09:05:18.011853
2026-04-08,bielsko-biała,Fleak. Futrzak i ja,Bielsko-Biała,12:15,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1359003?lang=pl,2026-04-08T09:05:18.011863
2026-04-08,bielsko-biała,LEGO® Przygoda 2,Bielsko-Biała,12:20,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1341244?lang=pl,2026-04-08T09:05:18.011873
2026-04-08,bielsko-biała,Za duży na bajki 3,Bielsko-Biała,12:40,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1363431?lang=pl,2026-04-08T09:05:18.011891
2026-04-08,bielsko-biała,Zwierzogród 2,Bielsko-Biała,12:50,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1364542?lang=pl,2026-04-08T09:05:18.011905
2026-04-08,bielsko-biała,David,Bielsko-Biała,13:00,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1360554?lang=pl,2026-04-08T09:05:18.011916
2026-04-08,bielsko-biała,Bluey w kinie: Kolekcja Zabawy z przyjaciółmi,Bielsko-Biała,13:20,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1361896?lang=pl,2026-04-08T09:05:18.011925
2026-04-08,bielsko-biała,Projekt Hail Mary,Bielsko-Biała,13:40,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1359470?lang=pl,2026-04-08T09:05:18.011937
2026-04-08,bielsko-biała,Pan Ryba,Bielsko-Biała,13:40,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1363766?lang=pl,2026-04-08T09:05:18.011946
2026-04-08,bielsko-biała,Hopnięci,Bielsko-Biała,13:45,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1359722?lang=pl,2026-04-08T09:05:18.011956
2026-04-08,bielsko-biała,Wielka mała koza,Bielsko-Biała,14:00,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1363993?lang=pl,2026-04-08T09:05:18.011965
2026-04-08,bielsko-biała,Fleak. Futrzak i ja,Bielsko-Biała,14:30,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1358912?lang=pl,2026-04-08T09:05:18.011973
2026-04-08,bielsko-biała,Za duży na bajki 3,Bielsko-Biała,14:50,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1363433?lang=pl,2026-04-08T09:05:18.011981
2026-04-08,bielsko-biała,Hopnięci,Bielsko-Biała,15:00,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1361939?lang=pl,2026-04-08T09:05:18.011991
2026-04-08,bielsko-biała,Oni cię zabiją,Bielsko-Biała,15:10,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1363327?lang=pl,2026-04-08T09:05:18.012000
2026-04-08,bielsko-biała,Wartość sentymentalna,Bielsko-Biała,15:10,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1364548?lang=pl,2026-04-08T09:05:18.012010
2026-04-08,bielsko-biała,Dobry chłopiec,Bielsko-Biała,15:30,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1360606?lang=pl,2026-04-08T09:05:18.012021
2026-04-08,bielsko-biała,Tajny agent,Bielsko-Biała,16:00,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1363771?lang=pl,2026-04-08T09:05:18.012030
2026-04-08,bielsko-biała,Król dopalaczy,Bielsko-Biała,16:10,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1359760?lang=pl,2026-04-08T09:05:18.012039
2026-04-08,bielsko-biała,Nie ma duchów w mieszkaniu na Dobrej,Bielsko-Biała,16:30,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1363997?lang=pl,2026-04-08T09:05:18.012052
2026-04-08,bielsko-biała,Mów mi Jimpa,Bielsko-Biała,16:40,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1358918?lang=pl,2026-04-08T09:05:18.012061
2026-04-08,bielsko-biała,Projekt Hail Mary,Bielsko-Biała,17:00,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1359472?lang=pl,2026-04-08T09:05:18.012071
2026-04-08,bielsko-biała,Za duży na bajki 3,Bielsko-Biała,17:00,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1363441?lang=pl,2026-04-08T09:05:18.012080
2026-04-08,bielsko-biała,Oni cię zabiją,Bielsko-Biała,17:20,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1363332?lang=pl,2026-04-08T09:05:18.012088
2026-04-08,bielsko-biała,Hopnięci,Bielsko-Biała,17:30,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1361945?lang=pl,2026-04-08T09:05:18.012097
2026-04-08,bielsko-biała,Drama,Bielsko-Biała,18:00,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1364556?lang=pl,2026-04-08T09:05:18.012107
2026-04-08,bielsko-biała,Ostatnia sesja w Paryżu,Bielsko-Biała,18:10,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1360615?lang=pl,2026-04-08T09:05:18.012116
2026-04-08,bielsko-biała,Król dopalaczy,Bielsko-Biała,18:40,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1359770?lang=pl,2026-04-08T09:05:18.012124
2026-04-08,bielsko-biała,"Reminders of Him. Cząstka Ciebie, którą znam",Bielsko-Biała,18:50,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1364013?lang=pl,2026-04-08T09:05:18.012133
2026-04-08,bielsko-biała,Baw się dobrze i przeżyj,Bielsko-Biała,19:10,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1363443?lang=pl,2026-04-08T09:05:18.012142
2026-04-08,bielsko-biała,Mów mi Jimpa,Bielsko-Biała,19:20,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1358924?lang=pl,2026-04-08T09:05:18.012151
2026-04-08,bielsko-biała,Tajny agent,Bielsko-Biała,19:20,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1363773?lang=pl,2026-04-08T09:05:18.012160
2026-04-08,bielsko-biała,Oni cię zabiją,Bielsko-Biała,19:40,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1363333?lang=pl,2026-04-08T09:05:18.012168
2026-04-08,bielsko-biała,Bez wyjścia,Bielsko-Biała,20:00,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1362009?lang=pl,2026-04-08T09:05:18.012178
2026-04-08,bielsko-biała,Projekt Hail Mary,Bielsko-Biała,20:20,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1359474?lang=pl,2026-04-08T09:05:18.012188
2026-04-08,bielsko-biała,Krzyk 7,Bielsko-Biała,20:30,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1364572?lang=pl,2026-04-08T09:05:18.012196
2026-04-08,bielsko-biała,Liga Mistrzów UEFA 2026 FC Barcelona - Atletico Madryt,Bielsko-Biała,20:45,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1326855?lang=pl,2026-04-08T09:05:18.012206
2026-04-08,bielsko-biała,Król dopalaczy,Bielsko-Biała,21:10,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1359788?lang=pl,2026-04-08T09:05:18.012215
