date,day,city,movie_title,cinema_name,time,format,language,scraped_at
2026-08-19,sroda,warszawa,Arek.Mama.Panorama,Kino Kultura w Warszawie,18:00,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Backrooms. Bez wyjścia,Cinema City Warszawa Arkadia,22:30,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Backrooms. Bez wyjścia,Cinema City Warszawa Bemowo,22:00,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Backrooms. Bez wyjścia,Cinema City Warszawa Sadyba,19:40,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Big Bang,Kino Iluzjon - Muzeum Sztuki Filmowej w Warszawie,20:00,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Biuro Detektywistyczne Lassego i Mai. Rabuś z pociągu (dubbing),Kinokawiarnia Stacja Falenica w Warszawie,12:15,,dubbing,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Czarne dziury: nieznane horyzonty,Planetarium Centrum Nauki Kopernik w Warszawie,14:30,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Dinozaury: Historia przetrwania,Planetarium Centrum Nauki Kopernik w Warszawie,10:30,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Do utraty tchu,Kino Luna w Warszawie,16:30,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Drugie życie,Helios Warszawa Blue City,17:00,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Dzień Objawienia,Cinema City Warszawa Arkadia,22:00,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Ekipa zwierzaków,Kinokawiarnia Stacja Falenica w Warszawie,13:45,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Ekipa zwierzaków (dubbing),Cinema City Warszawa Bemowo,10:00,,dubbing,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Ekipa zwierzaków (dubbing),Cinema City Warszawa Promenada,10:10,,dubbing,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Ekipa zwierzaków (dubbing),Cinema City Warszawa Promenada,16:30,,dubbing,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Ekipa zwierzaków (dubbing),Multikino Targówek,10:00,,dubbing,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Ekipa zwierzaków (dubbing),Multikino Targówek,13:30,,dubbing,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Eleanor Wspaniała,Filmowa Stolica Lata - Dzielnicowy Ośrodek Kultury Ursynów,21:00,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Falenicka Atlantyda,Kinokawiarnia Stacja Falenica w Warszawie,20:15,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Flavia de Luce,Kinokawiarnia Stacja Falenica w Warszawie,15:30,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Flavia de Luce,NoveKino Wisła w Warszawie,12:30,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Flavia de Luce (dubbing),Cinema City Warszawa Arkadia,11:20,,dubbing,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Flavia de Luce (dubbing),Cinema City Warszawa Arkadia,13:30,,dubbing,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Flavia de Luce (dubbing),Cinema City Warszawa Arkadia,15:50,,dubbing,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Flavia de Luce (dubbing),Cinema City Warszawa Bemowo,10:30,,dubbing,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Flavia de Luce (dubbing),Cinema City Warszawa Bemowo,12:40,,dubbing,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Flavia de Luce (dubbing),Cinema City Warszawa Bemowo,14:50,,dubbing,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Flavia de Luce (dubbing),Cinema City Warszawa Galeria Mokotów,12:40,,dubbing,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Flavia de Luce (dubbing),Cinema City Warszawa Galeria Mokotów,14:50,,dubbing,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Flavia de Luce (dubbing),Cinema City Warszawa Galeria Mokotów,17:10,,dubbing,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Flavia de Luce (dubbing),Cinema City Warszawa Galeria Północna,11:30,,dubbing,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Flavia de Luce (dubbing),Cinema City Warszawa Galeria Północna,13:50,,dubbing,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Flavia de Luce (dubbing),Cinema City Warszawa Galeria Północna,16:10,,dubbing,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Flavia de Luce (dubbing),Cinema City Warszawa Promenada,10:00,,dubbing,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Flavia de Luce (dubbing),Cinema City Warszawa Promenada,12:15,,dubbing,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Flavia de Luce (dubbing),Cinema City Warszawa Promenada,14:30,,dubbing,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Flavia de Luce (dubbing),Cinema City Warszawa Sadyba,10:50,,dubbing,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Flavia de Luce (dubbing),Cinema City Warszawa Sadyba,13:10,,dubbing,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Flavia de Luce (dubbing),Cinema City Warszawa Sadyba,15:30,,dubbing,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Flavia de Luce (dubbing),Multikino Młociny,10:50,,dubbing,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Flavia de Luce (dubbing),Multikino Targówek,17:15,,dubbing,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Flow,NoveKino Wisła w Warszawie,10:15,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Frances Ha,NoveKino Wisła w Warszawie,20:15,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Full Metal Jacket,Kino Muranów w Warszawie,20:30,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Gdzie jest Dory? (dubbing),Cinema City Warszawa Arkadia,13:30,,dubbing,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Gdzie jest Dory? (dubbing),Cinema City Warszawa Bemowo,14:30,,dubbing,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Gdzie jest Dory? (dubbing),Cinema City Warszawa Galeria Mokotów,14:00,,dubbing,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Gdzie jest Dory? (dubbing),Cinema City Warszawa Galeria Północna,13:30,,dubbing,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Gdzie jest Dory? (dubbing),Cinema City Warszawa Promenada,13:30,,dubbing,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Gdzie jest Dory? (dubbing),Cinema City Warszawa Sadyba,13:30,,dubbing,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Gdzie jest Nemo? 3D (dubbing),Cinema City Warszawa Arkadia,11:00,3D,dubbing,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Gdzie jest Nemo? 3D (dubbing),Cinema City Warszawa Bemowo,12:00,3D,dubbing,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Gdzie jest Nemo? 3D (dubbing),Cinema City Warszawa Galeria Mokotów,11:30,3D,dubbing,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Gdzie jest Nemo? 3D (dubbing),Cinema City Warszawa Galeria Północna,11:00,3D,dubbing,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Gdzie jest Nemo? 3D (dubbing),Cinema City Warszawa Promenada,11:00,3D,dubbing,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Gdzie jest Nemo? 3D (dubbing),Cinema City Warszawa Sadyba,11:00,3D,dubbing,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Historie równoległe,Cinema City Warszawa Arkadia,16:20,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Historie równoległe,Cinema City Warszawa Arkadia,19:20,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Historie równoległe,Cinema City Warszawa Galeria Mokotów,17:00,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Historie równoległe,Cinema City Warszawa Galeria Mokotów,20:00,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Historie równoległe,Cinema City Warszawa Promenada,18:10,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Historie równoległe,Cinema City Warszawa Promenada,21:10,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Historie równoległe,Kino Atlantic w Warszawie,11:10,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Historie równoległe,Kino Atlantic w Warszawie,17:30,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Historie równoległe,Kino Elektronik w Warszawie,20:45,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Historie równoległe,Kino Głębocka 66 w Warszawie,19:30,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Historie równoległe,Kino Kultura w Warszawie,20:15,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Historie równoległe,Kino Luna w Warszawie,20:00,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Historie równoległe,Kino Muranów w Warszawie,20:15,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Historie równoległe,Kino na Boku - Białołęcki Ośrodek Kultury w Warszawie,19:30,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Historie równoległe,Kinokawiarnia Stacja Falenica w Warszawie,20:00,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Historie równoległe,Kinoteka w Warszawie,14:00,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Historie równoległe,Kinoteka w Warszawie,16:00,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Historie równoległe,Kinoteka w Warszawie,20:45,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Historie równoległe,Multikino Młociny,17:55,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Historie równoległe,Multikino Targówek,19:35,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Historie równoległe,Multikino Złote Tarasy,20:00,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Historie równoległe,NoveKino Wisła w Warszawie,13:40,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Homo Sapiens,Kinokawiarnia Stacja Falenica w Warszawie,16:15,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Homo sapiens?,Kino Atlantic w Warszawie,12:45,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Homo sapiens?,Kino Elektronik w Warszawie,20:00,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Ice Cream Man,Cinema City Warszawa Arkadia,19:30,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Ice Cream Man,Cinema City Warszawa Arkadia,22:00,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Ice Cream Man,Cinema City Warszawa Bemowo,18:50,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Ice Cream Man,Cinema City Warszawa Bemowo,22:30,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Ice Cream Man,Cinema City Warszawa Galeria Mokotów,16:30,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Ice Cream Man,Cinema City Warszawa Galeria Mokotów,22:30,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Ice Cream Man,Cinema City Warszawa Galeria Północna,19:10,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Ice Cream Man,Cinema City Warszawa Galeria Północna,22:00,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Ice Cream Man,Cinema City Warszawa Promenada,21:10,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Ice Cream Man,Cinema City Warszawa Promenada,22:00,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Ice Cream Man,Cinema City Warszawa Sadyba,18:10,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Ice Cream Man,Cinema City Warszawa Sadyba,22:30,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Ice Cream Man,Helios Warszawa Blue City,21:40,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Ice Cream Man,Multikino Atrium Reduta w Warszawie,13:20,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Ice Cream Man,Multikino Atrium Reduta w Warszawie,21:20,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Ice Cream Man,Multikino Młociny,17:40,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Ice Cream Man,Multikino Młociny,20:50,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Ice Cream Man,Multikino Targówek,17:55,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Ice Cream Man,Multikino Targówek,20:05,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Ice Cream Man,Multikino Wola,12:05,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Ice Cream Man,Multikino Złote Tarasy,20:35,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Kandydaci śmierci,AMONDO Kino w Warszawie,18:15,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Kandydaci śmierci,Kino Elektronik w Warszawie,18:00,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Kandydaci śmierci,Kino Luna w Warszawie,14:00,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Kandydaci śmierci,Kinokawiarnia Stacja Falenica w Warszawie,18:15,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Kandydaci śmierci,Kinomuzeum w Muzeum Sztuki Nowoczesnej w Warszawie,17:30,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Kandydaci śmierci,Kinoteka w Warszawie,19:10,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Kicia Kocia na pikniku,Kinokawiarnia Stacja Falenica w Warszawie,11:00,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Kobiety na skraju załamania nerwowego,Kino Muranów w Warszawie,20:15,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Koniec Ulicy Dębowej,Cinema City Warszawa Arkadia,10:50,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Koniec Ulicy Dębowej,Cinema City Warszawa Arkadia,12:00,,,2026-08-19T08:38:33.553189
2026-08-19,sroda,warszawa,Koniec Ulicy Dębowej,Cinema City Warszawa Arkadia,13:00,,,2026-08-19T08:38:33.553189
