date,city,movie_title,cinema_name,time,format,language,event_type,availability,booking_url,scraped_at
2026-04-24,bielsko-biała,Super Mario Galaxy Film,Bielsko-Biała,11:50,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1399580?lang=pl,2026-04-24T09:47:35.576025
2026-04-24,bielsko-biała,Pucio,Bielsko-Biała,12:00,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1398076?lang=pl,2026-04-24T09:47:35.576056
2026-04-24,bielsko-biała,Za duży na bajki 3,Bielsko-Biała,12:20,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1399175?lang=pl,2026-04-24T09:47:35.576072
2026-04-24,bielsko-biała,Disney Junior w kinie,Bielsko-Biała,12:30,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1367415?lang=pl,2026-04-24T09:47:35.576084
2026-04-24,bielsko-biała,Projekt Hail Mary,Bielsko-Biała,12:30,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1399282?lang=pl,2026-04-24T09:47:35.576096
2026-04-24,bielsko-biała,Arco,Bielsko-Biała,12:30,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1400834?lang=pl,2026-04-24T09:47:35.576106
2026-04-24,bielsko-biała,Hopnięci,Bielsko-Biała,13:10,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1398864?lang=pl,2026-04-24T09:47:35.576119
2026-04-24,bielsko-biała,Michael,Bielsko-Biała,13:20,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1368106?lang=pl,2026-04-24T09:47:35.576137
2026-04-24,bielsko-biała,Super Mario Galaxy Film,Bielsko-Biała,13:25,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1397885?lang=pl,2026-04-24T09:47:35.576150
2026-04-24,bielsko-biała,Drama,Bielsko-Biała,13:30,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1398082?lang=pl,2026-04-24T09:47:35.576162
2026-04-24,bielsko-biała,Super Mario Galaxy Film,Bielsko-Biała,14:10,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1399586?lang=pl,2026-04-24T09:47:35.576172
2026-04-24,bielsko-biała,Projekt Hail Mary,Bielsko-Biała,14:10,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1399942?lang=pl,2026-04-24T09:47:35.576183
2026-04-24,bielsko-biała,Pucio,Bielsko-Biała,14:20,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1398491?lang=pl,2026-04-24T09:47:35.576191
2026-04-24,bielsko-biała,Mumia: Film Lee Cronina,Bielsko-Biała,14:30,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1399065?lang=pl,2026-04-24T09:47:35.576201
2026-04-24,bielsko-biała,Za duży na bajki 3,Bielsko-Biała,14:40,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1400840?lang=pl,2026-04-24T09:47:35.576210
2026-04-24,bielsko-biała,Hopnięci,Bielsko-Biała,15:30,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1398867?lang=pl,2026-04-24T09:47:35.576220
2026-04-24,bielsko-biała,Normal,Bielsko-Biała,15:45,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1397891?lang=pl,2026-04-24T09:47:35.576231
2026-04-24,bielsko-biała,Maryja. Matka papieża,Bielsko-Biała,15:50,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1398511?lang=pl,2026-04-24T09:47:35.576240
2026-04-24,bielsko-biała,Projekt Hail Mary,Bielsko-Biała,15:50,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1399288?lang=pl,2026-04-24T09:47:35.576250
2026-04-24,bielsko-biała,Drama,Bielsko-Biała,16:00,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1398088?lang=pl,2026-04-24T09:47:35.576260
2026-04-24,bielsko-biała,Michael,Bielsko-Biała,16:10,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1368111?lang=pl,2026-04-24T09:47:35.576270
2026-04-24,bielsko-biała,Super Mario Galaxy Film,Bielsko-Biała,16:30,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1399592?lang=pl,2026-04-24T09:47:35.576280
2026-04-24,bielsko-biała,Zabawa w pochowanego 2,Bielsko-Biała,16:50,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1400846?lang=pl,2026-04-24T09:47:35.576294
