date,city,movie_title,cinema_name,time,format,language,event_type,availability,booking_url,scraped_at
2026-05-21,bielsko-biała,Pucio,Bielsko-Biała,13:30,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1440659?lang=pl,2026-05-21T11:29:15.922306
2026-05-21,bielsko-biała,Kurozając i świątynia świstaka,Bielsko-Biała,13:30,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1443037?lang=pl,2026-05-21T11:29:15.922336
2026-05-21,bielsko-biała,Diabeł ubiera się u Prady 2,Bielsko-Biała,13:40,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1440296?lang=pl,2026-05-21T11:29:15.922352
2026-05-21,bielsko-biała,Za duży na bajki 3,Bielsko-Biała,14:20,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1440360?lang=pl,2026-05-21T11:29:15.922364
2026-05-21,bielsko-biała,Super Mario Galaxy Film,Bielsko-Biała,14:30,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1441678?lang=pl,2026-05-21T11:29:15.922377
2026-05-21,bielsko-biała,Sprawiedliwość owiec,Bielsko-Biała,14:30,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1450279?lang=pl,2026-05-21T11:29:15.922388
2026-05-21,bielsko-biała,Diabeł ubiera się u Prady 2,Bielsko-Biała,14:40,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1441112?lang=pl,2026-05-21T11:29:15.922399
2026-05-21,bielsko-biała,Obsesja,Bielsko-Biała,14:40,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1442024?lang=pl,2026-05-21T11:29:15.922416
2026-05-21,bielsko-biała,Michael,Bielsko-Biała,14:50,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1440644?lang=pl,2026-05-21T11:29:15.922429
2026-05-21,bielsko-biała,Mortal Kombat II,Bielsko-Biała,15:20,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1441439?lang=pl,2026-05-21T11:29:15.922441
2026-05-21,bielsko-biała,Diabeł ubiera się u Prady 2,Bielsko-Biała,15:30,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1440707?lang=pl,2026-05-21T11:29:15.922451
2026-05-21,bielsko-biała,Kurozając i świątynia świstaka,Bielsko-Biała,15:40,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1443043?lang=pl,2026-05-21T11:29:15.922461
2026-05-21,bielsko-biała,Diabeł ubiera się u Prady 2,Bielsko-Biała,16:20,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1440297?lang=pl,2026-05-21T11:29:15.922472
2026-05-21,bielsko-biała,Mortal Kombat II,Bielsko-Biała,16:40,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1440352?lang=pl,2026-05-21T11:29:15.922483
2026-05-21,bielsko-biała,Super Mario Galaxy Film,Bielsko-Biała,16:45,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1441684?lang=pl,2026-05-21T11:29:15.922493
2026-05-21,bielsko-biała,Billie Eilish – Hit Me Hard and Soft: The Tour,Bielsko-Biała,17:00,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1450258?lang=pl,2026-05-21T11:29:15.922506
2026-05-21,bielsko-biała,Sprawiedliwość owiec,Bielsko-Biała,17:10,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1442030?lang=pl,2026-05-21T11:29:15.922515
2026-05-21,bielsko-biała,Top Gun 40th Anniversary,Bielsko-Biała,17:30,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1441121?lang=pl,2026-05-21T11:29:15.922525
2026-05-21,bielsko-biała,Michael,Bielsko-Biała,17:40,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1440639?lang=pl,2026-05-21T11:29:15.922535
2026-05-21,bielsko-biała,Kurozając i świątynia świstaka,Bielsko-Biała,17:50,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1443049?lang=pl,2026-05-21T11:29:15.922544
2026-05-21,bielsko-biała,Iron Maiden: Burning Ambition,Bielsko-Biała,18:00,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1441421?lang=pl,2026-05-21T11:29:15.922554
2026-05-21,bielsko-biała,Diabeł ubiera się u Prady 2,Bielsko-Biała,18:10,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1440768?lang=pl,2026-05-21T11:29:15.922563
2026-05-21,bielsko-biała,Gwiezdne Wojny: Mandalorian i Grogu,Bielsko-Biała,19:00,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1425884?lang=pl,2026-05-21T11:29:15.922575
2026-05-21,bielsko-biała,Obsesja,Bielsko-Biała,19:10,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1441801?lang=pl,2026-05-21T11:29:15.922584
2026-05-21,bielsko-biała,Mortal Kombat II,Bielsko-Biała,19:20,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1440356?lang=pl,2026-05-21T11:29:15.922594
2026-05-21,bielsko-biała,Drama,Bielsko-Biała,19:30,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1442909?lang=pl,2026-05-21T11:29:15.922605
2026-05-21,bielsko-biała,Billie Eilish – Hit Me Hard and Soft: The Tour,Bielsko-Biała,19:40,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1450265?lang=pl,2026-05-21T11:29:15.922615
2026-05-21,bielsko-biała,Gwiezdne Wojny: Mandalorian i Grogu,Bielsko-Biała,20:00,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1425888?lang=pl,2026-05-21T11:29:15.922626
2026-05-21,bielsko-biała,Projekt Hail Mary,Bielsko-Biała,20:00,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1443055?lang=pl,2026-05-21T11:29:15.922636
2026-05-21,bielsko-biała,Gwiezdne Wojny: Mandalorian i Grogu,Bielsko-Biała,20:30,3D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1425887?lang=pl,2026-05-21T11:29:15.922645
2026-05-21,bielsko-biała,Mortal Kombat II,Bielsko-Biała,20:40,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1441445?lang=pl,2026-05-21T11:29:15.922655
2026-05-21,bielsko-biała,Diabeł ubiera się u Prady 2,Bielsko-Biała,20:50,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1440778?lang=pl,2026-05-21T11:29:15.922665
2026-05-21,bielsko-biała,Obsesja,Bielsko-Biała,21:45,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1441805?lang=pl,2026-05-21T11:29:15.922673
2026-05-21,bielsko-biała,Gwiezdne Wojny: Mandalorian i Grogu,Bielsko-Biała,22:00,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1425886?lang=pl,2026-05-21T11:29:15.922684
2026-05-21,bielsko-biała,Mortal Kombat II,Bielsko-Biała,22:00,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1440364?lang=pl,2026-05-21T11:29:15.922694
2026-05-21,bielsko-biała,Mumia: Film Lee Cronina,Bielsko-Biała,22:00,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1442916?lang=pl,2026-05-21T11:29:15.922702
2026-05-21,bydgoszcz,Kurozając i świątynia świstaka,Bydgoszcz,13:30,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1446012?lang=pl,2026-05-21T11:29:18.357710
2026-05-21,bydgoszcz,Mortal Kombat II,Bydgoszcz,13:30,4DX,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1448421?lang=pl,2026-05-21T11:29:18.357733
2026-05-21,bydgoszcz,Mortal Kombat II,Bydgoszcz,13:40,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1441174?lang=pl,2026-05-21T11:29:18.357746
2026-05-21,bydgoszcz,Hopnięci,Bydgoszcz,14:00,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1441221?lang=pl,2026-05-21T11:29:18.357758
2026-05-21,bydgoszcz,Drama,Bydgoszcz,14:00,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1445207?lang=pl,2026-05-21T11:29:18.357768
