date,city,movie_title,cinema_name,time,format,language,event_type,availability,booking_url,scraped_at
2026-05-07,bielsko-biała,Super Mario Galaxy Film,Bielsko-Biała,12:20,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1421849?lang=pl,2026-05-07T10:26:51.059797
2026-05-07,bielsko-biała,Za duży na bajki 3,Bielsko-Biała,12:20,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1422113?lang=pl,2026-05-07T10:26:51.059833
2026-05-07,bielsko-biała,Projekt Hail Mary,Bielsko-Biała,12:30,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1421589?lang=pl,2026-05-07T10:26:51.059847
2026-05-07,bielsko-biała,Pucio,Bielsko-Biała,12:40,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1422082?lang=pl,2026-05-07T10:26:51.059858
2026-05-07,bielsko-biała,Hopnięci,Bielsko-Biała,13:10,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1419620?lang=pl,2026-05-07T10:26:51.059871
2026-05-07,bielsko-biała,Michael,Bielsko-Biała,13:20,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1420082?lang=pl,2026-05-07T10:26:51.059882
2026-05-07,bielsko-biała,Super Mario Galaxy Film,Bielsko-Biała,13:30,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1418838?lang=pl,2026-05-07T10:26:51.059893
2026-05-07,bielsko-biała,Drama,Bielsko-Biała,13:30,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1421339?lang=pl,2026-05-07T10:26:51.059912
2026-05-07,bielsko-biała,Diabeł ubiera się u Prady 2,Bielsko-Biała,13:40,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1418004?lang=pl,2026-05-07T10:26:51.059927
2026-05-07,bielsko-biała,Projekt Hail Mary,Bielsko-Biała,14:10,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1422088?lang=pl,2026-05-07T10:26:51.059939
2026-05-07,bielsko-biała,Diabeł ubiera się u Prady 2,Bielsko-Biała,14:40,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1421015?lang=pl,2026-05-07T10:26:51.059949
2026-05-07,bielsko-biała,Super Mario Galaxy Film,Bielsko-Biała,14:40,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1421855?lang=pl,2026-05-07T10:26:51.059960
2026-05-07,bielsko-biała,Za duży na bajki 3,Bielsko-Biała,14:40,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1422119?lang=pl,2026-05-07T10:26:51.059968
2026-05-07,bielsko-biała,Hopnięci,Bielsko-Biała,15:30,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1419625?lang=pl,2026-05-07T10:26:51.060013
2026-05-07,bielsko-biała,Normal,Bielsko-Biała,15:45,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1418844?lang=pl,2026-05-07T10:26:51.060028
