date,city,movie_title,cinema_name,time,format,language,event_type,availability,booking_url,scraped_at
2026-08-07,podlaska,Psi patrol i dinozaury,Biała Podlaska,10:00,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1597714?lang=pl,2026-08-07T00:54:03.826147
2026-08-07,podlaska,Ekipa zwierzaków,Biała Podlaska,10:00,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1610106?lang=pl,2026-08-07T00:54:03.826178
2026-08-07,podlaska,Minionki i straszydła,Biała Podlaska,10:40,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1610944?lang=pl,2026-08-07T00:54:03.826191
2026-08-07,podlaska,Toy Story 5,Biała Podlaska,11:10,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1610651?lang=pl,2026-08-07T00:54:03.826202
2026-08-07,podlaska,Psi patrol i dinozaury,Biała Podlaska,12:10,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1597715?lang=pl,2026-08-07T00:54:03.826210
2026-08-07,podlaska,Spider-Man: Całkiem nowy dzień,Biała Podlaska,12:10,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1610200?lang=pl,2026-08-07T00:54:03.826220
2026-08-07,podlaska,Vaiana,Biała Podlaska,12:50,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1610983?lang=pl,2026-08-07T00:54:03.826228
2026-08-07,podlaska,Spider-Man: Całkiem nowy dzień,Biała Podlaska,13:40,3D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1610667?lang=pl,2026-08-07T00:54:03.826243
2026-08-07,podlaska,Psi patrol i dinozaury,Biała Podlaska,14:20,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1597716?lang=pl,2026-08-07T00:54:03.826252
2026-08-07,podlaska,Spider-Man: Całkiem nowy dzień,Biała Podlaska,15:20,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1610218?lang=pl,2026-08-07T00:54:03.826261
2026-08-07,podlaska,Minionki i straszydła,Biała Podlaska,15:30,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1611033?lang=pl,2026-08-07T00:54:03.826269
2026-08-07,podlaska,Psi patrol i dinozaury,Biała Podlaska,16:30,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1597717?lang=pl,2026-08-07T00:54:03.826276
2026-08-07,podlaska,Spider-Man: Całkiem nowy dzień,Biała Podlaska,16:50,3D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1610707?lang=pl,2026-08-07T00:54:03.826283
2026-08-07,podlaska,Ice Cream Man,Biała Podlaska,17:40,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1611098?lang=pl,2026-08-07T00:54:03.826291
2026-08-07,podlaska,Spider-Man: Całkiem nowy dzień,Biała Podlaska,18:30,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1610252?lang=pl,2026-08-07T00:54:03.826298
2026-08-07,podlaska,Psi patrol i dinozaury,Biała Podlaska,18:40,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1597718?lang=pl,2026-08-07T00:54:03.826305
2026-08-07,podlaska,Władca Pierścieni: Drużyna Pierścienia (wersja rozszerzona),Biała Podlaska,20:00,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1568096?lang=pl,2026-08-07T00:54:03.826313
2026-08-07,podlaska,Odyseja,Biała Podlaska,20:15,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1611140?lang=pl,2026-08-07T00:54:03.826321
2026-08-07,podlaska,Spider-Man: Całkiem nowy dzień,Biała Podlaska,20:50,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1610424?lang=pl,2026-08-07T00:54:03.826329
2026-08-07,podlaska,Ice Cream Man,Biała Podlaska,21:40,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1610328?lang=pl,2026-08-07T00:54:03.826336
2026-08-07,bielsko-biała,Minionki i straszydła,Bielsko-Biała,10:00,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1614022?lang=pl,2026-08-07T00:54:06.316205
2026-08-07,bielsko-biała,Vaiana,Bielsko-Biała,10:10,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1614263?lang=pl,2026-08-07T00:54:06.316228
2026-08-07,bielsko-biała,Ekipa zwierzaków,Bielsko-Biała,10:15,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1612992?lang=pl,2026-08-07T00:54:06.316237
2026-08-07,bielsko-biała,Psi patrol i dinozaury,Bielsko-Biała,10:20,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1596538?lang=pl,2026-08-07T00:54:06.316244
2026-08-07,bielsko-biała,Spider-Man: Całkiem nowy dzień,Bielsko-Biała,10:30,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1611843?lang=pl,2026-08-07T00:54:06.316252
2026-08-07,bielsko-biała,Toy Story 5,Bielsko-Biała,10:40,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1614826?lang=pl,2026-08-07T00:54:06.316261
2026-08-07,bielsko-biała,Psi patrol i dinozaury,Bielsko-Biała,11:20,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1596531?lang=pl,2026-08-07T00:54:06.316268
2026-08-07,bielsko-biała,Spider-Man: Całkiem nowy dzień,Bielsko-Biała,11:20,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1611698?lang=pl,2026-08-07T00:54:06.316276
2026-08-07,bielsko-biała,Odyseja,Bielsko-Biała,11:30,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1611764?lang=pl,2026-08-07T00:54:06.316283
2026-08-07,bielsko-biała,Minionki i straszydła,Bielsko-Biała,11:40,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1614645?lang=pl,2026-08-07T00:54:06.316290
2026-08-07,bielsko-biała,Spider-Man: Całkiem nowy dzień,Bielsko-Biała,12:10,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1614028?lang=pl,2026-08-07T00:54:06.316297
2026-08-07,bielsko-biała,Psi patrol i dinozaury,Bielsko-Biała,12:30,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1596540?lang=pl,2026-08-07T00:54:06.316303
2026-08-07,bielsko-biała,Odyseja,Bielsko-Biała,12:30,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1613047?lang=pl,2026-08-07T00:54:06.316310
2026-08-07,bielsko-biała,Vaiana,Bielsko-Biała,12:50,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1614282?lang=pl,2026-08-07T00:54:06.316318
2026-08-07,bielsko-biała,Toy Story 5,Bielsko-Biała,13:10,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1614830?lang=pl,2026-08-07T00:54:06.316326
2026-08-07,bielsko-biała,Psi patrol i dinozaury,Bielsko-Biała,13:30,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1596533?lang=pl,2026-08-07T00:54:06.316333
2026-08-07,bielsko-biała,Spider-Man: Całkiem nowy dzień,Bielsko-Biała,13:40,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1611845?lang=pl,2026-08-07T00:54:06.316340
2026-08-07,bielsko-biała,Minionki i straszydła,Bielsko-Biała,13:50,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1614651?lang=pl,2026-08-07T00:54:06.316347
2026-08-07,bielsko-biała,Psi patrol i dinozaury,Bielsko-Biała,14:40,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1596541?lang=pl,2026-08-07T00:54:06.316353
2026-08-07,bielsko-biała,Odyseja,Bielsko-Biała,15:15,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1611768?lang=pl,2026-08-07T00:54:06.316360
2026-08-07,bielsko-biała,Spider-Man: Całkiem nowy dzień,Bielsko-Biała,15:20,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1614034?lang=pl,2026-08-07T00:54:06.316367
2026-08-07,bielsko-biała,Ice Cream Man,Bielsko-Biała,15:30,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1614328?lang=pl,2026-08-07T00:54:06.316373
2026-08-07,bielsko-biała,Psi patrol i dinozaury,Bielsko-Biała,15:40,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1596534?lang=pl,2026-08-07T00:54:06.316380
2026-08-07,bielsko-biała,Toy Story 5,Bielsko-Biała,15:40,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1614839?lang=pl,2026-08-07T00:54:06.316387
