date,day,city,movie_title,cinema_name,time,format,language,scraped_at
2026-08-26,sroda,warszawa,ABBA pod gwiazdami,Planetarium Centrum Nauki Kopernik w Warszawie,19:00,,,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,André Rieu. Niech żyje Maastricht!,Helios Warszawa Blue City,18:00,,,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,André Rieu. Niech żyje Maastricht!,Multikino Atrium Reduta w Warszawie,16:40,,,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,André Rieu. Niech żyje Maastricht!,Multikino Młociny,16:40,,,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,André Rieu. Niech żyje Maastricht!,Multikino Targówek,16:40,,,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,André Rieu. Niech żyje Maastricht!,Multikino Wola,16:40,,,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,André Rieu. Niech żyje Maastricht!,Multikino Złote Tarasy,16:40,,,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Arek.Mama.Panorama,Cinema City Warszawa Arkadia,16:10,,,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Arek.Mama.Panorama,Cinema City Warszawa Galeria Mokotów,17:30,,,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Arek.Mama.Panorama,Cinema City Warszawa Promenada,19:45,,,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Arek.Mama.Panorama,Kino Muranów w Warszawie,16:30,,,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Arek.Mama.Panorama,Kinokawiarnia Stacja Falenica w Warszawie,17:00,,,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Arek.Mama.Panorama,Kinoteka w Warszawie,15:15,,,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Backrooms. Bez wyjścia,Cinema City Warszawa Arkadia,22:30,,,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Biuro Detektywistyczne Lassego i Mai. Rabuś z pociągu (dubbing),Kinokawiarnia Stacja Falenica w Warszawie,10:00,,dubbing,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Bogaci i martwi,Cinema City Warszawa Arkadia,10:30,,,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Bogaci i martwi,Cinema City Warszawa Arkadia,19:20,,,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Bogaci i martwi,Cinema City Warszawa Arkadia,21:40,,,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Bogaci i martwi,Cinema City Warszawa Bemowo,18:45,,,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Bogaci i martwi,Cinema City Warszawa Bemowo,21:05,,,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Bogaci i martwi,Cinema City Warszawa Galeria Mokotów,19:10,,,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Bogaci i martwi,Cinema City Warszawa Galeria Mokotów,21:30,,,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Bogaci i martwi,Cinema City Warszawa Galeria Północna,19:10,,,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Bogaci i martwi,Cinema City Warszawa Galeria Północna,21:30,,,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Bogaci i martwi,Cinema City Warszawa Promenada,18:00,,,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Bogaci i martwi,Cinema City Warszawa Promenada,20:20,,,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Bogaci i martwi,Cinema City Warszawa Sadyba,19:20,,,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Bogaci i martwi,Cinema City Warszawa Sadyba,21:40,,,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Bogaci i martwi,Kino Atlantic w Warszawie,13:15,,,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Bogaci i martwi,Kino Atlantic w Warszawie,20:15,,,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Bogaci i martwi,Kino Kultura w Warszawie,14:00,,,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Bogaci i martwi,Kino Luna w Warszawie,16:00,,,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Bogaci i martwi,Multikino Targówek,21:00,,,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Bogaci i martwi,NoveKino Wisła w Warszawie,12:15,,,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Ból i blask,Kino Kultura w Warszawie,18:45,,,2026-08-26T08:44:55.094695
2026-08-26,sroda,warszawa,Brudny Henryk,Kinoteka w Warszawie,20:00,,,2026-08-26T08:44:55.094695
