date,day_name,city,movie_title,cinema_name,time,format,language,event_type,scraped_at
2026-06-22,poniedzialek,warszawa,3-2-1 Start!,Planetarium Centrum Nauki Kopernik w Warszawie,11:30,,,regular,2026-06-22T13:36:17.579410
2026-06-22,poniedzialek,warszawa,Backrooms. Bez wyjścia,Cinema City Warszawa Arkadia,12:00,,,regular,2026-06-22T13:36:17.579410
2026-06-22,poniedzialek,warszawa,Backrooms. Bez wyjścia,Cinema City Warszawa Arkadia,14:30,,,regular,2026-06-22T13:36:17.579410
2026-06-22,poniedzialek,warszawa,Backrooms. Bez wyjścia,Cinema City Warszawa Arkadia,17:00,,,regular,2026-06-22T13:36:17.579410
2026-06-22,poniedzialek,warszawa,Backrooms. Bez wyjścia,Cinema City Warszawa Arkadia,19:00,,,regular,2026-06-22T13:36:17.579410
2026-06-22,poniedzialek,warszawa,Backrooms. Bez wyjścia,Cinema City Warszawa Arkadia,19:30,,,regular,2026-06-22T13:36:17.579410
2026-06-22,poniedzialek,warszawa,Backrooms. Bez wyjścia,Cinema City Warszawa Arkadia,21:30,,,regular,2026-06-22T13:36:17.579410
2026-06-22,poniedzialek,warszawa,Backrooms. Bez wyjścia,Cinema City Warszawa Arkadia,22:00,,,regular,2026-06-22T13:36:17.579410
2026-06-22,poniedzialek,warszawa,Backrooms. Bez wyjścia,Cinema City Warszawa Bemowo,12:00,,,regular,2026-06-22T13:36:17.579410
2026-06-22,poniedzialek,warszawa,Backrooms. Bez wyjścia,Cinema City Warszawa Bemowo,14:30,,,regular,2026-06-22T13:36:17.579410
2026-06-22,poniedzialek,warszawa,Backrooms. Bez wyjścia,Cinema City Warszawa Bemowo,17:00,,,regular,2026-06-22T13:36:17.579410
2026-06-22,poniedzialek,warszawa,Backrooms. Bez wyjścia,Cinema City Warszawa Bemowo,18:20,,,regular,2026-06-22T13:36:17.579410
2026-06-22,poniedzialek,warszawa,Backrooms. Bez wyjścia,Cinema City Warszawa Bemowo,19:30,,,regular,2026-06-22T13:36:17.579410
2026-06-22,poniedzialek,warszawa,Backrooms. Bez wyjścia,Cinema City Warszawa Bemowo,22:00,,,regular,2026-06-22T13:36:17.579410
2026-06-22,poniedzialek,warszawa,Backrooms. Bez wyjścia,Cinema City Warszawa Galeria Mokotów,12:30,,,regular,2026-06-22T13:36:17.579410
2026-06-22,poniedzialek,warszawa,Backrooms. Bez wyjścia,Cinema City Warszawa Galeria Mokotów,15:00,,,regular,2026-06-22T13:36:17.579410
2026-06-22,poniedzialek,warszawa,Backrooms. Bez wyjścia,Cinema City Warszawa Galeria Mokotów,17:30,,,regular,2026-06-22T13:36:17.579410
2026-06-22,poniedzialek,warszawa,Backrooms. Bez wyjścia,Cinema City Warszawa Galeria Mokotów,20:00,,,regular,2026-06-22T13:36:17.579410
2026-06-22,poniedzialek,warszawa,Backrooms. Bez wyjścia,Cinema City Warszawa Galeria Mokotów,22:30,,,regular,2026-06-22T13:36:17.579410
2026-06-22,poniedzialek,warszawa,Backrooms. Bez wyjścia,Cinema City Warszawa Galeria Północna,10:10,,,regular,2026-06-22T13:36:17.579410
2026-06-22,poniedzialek,warszawa,Backrooms. Bez wyjścia,Cinema City Warszawa Galeria Północna,12:00,,,regular,2026-06-22T13:36:17.579410
2026-06-22,poniedzialek,warszawa,Backrooms. Bez wyjścia,Cinema City Warszawa Galeria Północna,14:30,,,regular,2026-06-22T13:36:17.579410
2026-06-22,poniedzialek,warszawa,Backrooms. Bez wyjścia,Cinema City Warszawa Galeria Północna,17:00,,,regular,2026-06-22T13:36:17.579410
2026-06-22,poniedzialek,warszawa,Backrooms. Bez wyjścia,Cinema City Warszawa Galeria Północna,19:30,,,regular,2026-06-22T13:36:17.579410
2026-06-22,poniedzialek,warszawa,Backrooms. Bez wyjścia,Cinema City Warszawa Galeria Północna,22:00,,,regular,2026-06-22T13:36:17.579410
2026-06-22,poniedzialek,warszawa,Backrooms. Bez wyjścia,Cinema City Warszawa Promenada,12:00,,,regular,2026-06-22T13:36:17.579410
2026-06-22,poniedzialek,warszawa,Backrooms. Bez wyjścia,Cinema City Warszawa Promenada,14:30,,,regular,2026-06-22T13:36:17.579410
2026-06-22,poniedzialek,warszawa,Backrooms. Bez wyjścia,Cinema City Warszawa Promenada,17:00,,,regular,2026-06-22T13:36:17.579410
2026-06-22,poniedzialek,warszawa,Backrooms. Bez wyjścia,Cinema City Warszawa Promenada,18:00,,,regular,2026-06-22T13:36:17.579410
2026-06-22,poniedzialek,warszawa,Backrooms. Bez wyjścia,Cinema City Warszawa Promenada,19:30,,,regular,2026-06-22T13:36:17.579410
2026-06-22,poniedzialek,warszawa,Backrooms. Bez wyjścia,Cinema City Warszawa Promenada,22:00,,,regular,2026-06-22T13:36:17.579410
2026-06-22,poniedzialek,warszawa,Backrooms. Bez wyjścia,Cinema City Warszawa Sadyba,12:00,,,regular,2026-06-22T13:36:17.579410
2026-06-22,poniedzialek,warszawa,Backrooms. Bez wyjścia,Cinema City Warszawa Sadyba,14:30,,,regular,2026-06-22T13:36:17.579410
2026-06-22,poniedzialek,warszawa,Backrooms. Bez wyjścia,Cinema City Warszawa Sadyba,17:00,,,regular,2026-06-22T13:36:17.579410
2026-06-22,poniedzialek,warszawa,Backrooms. Bez wyjścia,Cinema City Warszawa Sadyba,19:30,,,regular,2026-06-22T13:36:17.579410
2026-06-22,poniedzialek,warszawa,Backrooms. Bez wyjścia,Cinema City Warszawa Sadyba,20:50,,,regular,2026-06-22T13:36:17.579410
2026-06-22,poniedzialek,warszawa,Backrooms. Bez wyjścia,Cinema City Warszawa Sadyba,22:00,,,regular,2026-06-22T13:36:17.579410
2026-06-22,poniedzialek,warszawa,Backrooms. Bez wyjścia,Helios Warszawa Blue City,12:30,,,regular,2026-06-22T13:36:17.579410
2026-06-22,poniedzialek,warszawa,Backrooms. Bez wyjścia,Helios Warszawa Blue City,16:15,,,regular,2026-06-22T13:36:17.579410
2026-06-22,poniedzialek,warszawa,Backrooms. Bez wyjścia,Helios Warszawa Blue City,18:45,,,regular,2026-06-22T13:36:17.579410
2026-06-22,poniedzialek,warszawa,Backrooms. Bez wyjścia,Helios Warszawa Blue City,20:45,,,regular,2026-06-22T13:36:17.579410
2026-06-22,poniedzialek,warszawa,Backrooms. Bez wyjścia,Helios Warszawa Blue City,21:20,,,regular,2026-06-22T13:36:17.579410
2026-06-22,poniedzialek,warszawa,Backrooms. Bez wyjścia,Kino Atlantic w Warszawie,20:00,,,regular,2026-06-22T13:36:17.579410
2026-06-22,poniedzialek,warszawa,Backrooms. Bez wyjścia,Kino Luna w Warszawie,20:10,,,regular,2026-06-22T13:36:17.579410
2026-06-22,poniedzialek,warszawa,Backrooms. Bez wyjścia,Kinokawiarnia Stacja Falenica w Warszawie,19:00,,,regular,2026-06-22T13:36:17.579410
2026-06-22,poniedzialek,warszawa,Backrooms. Bez wyjścia,Kinoteka w Warszawie,16:15,,,regular,2026-06-22T13:36:17.579410
