date,city,movie_title,cinema_name,time,format,language,event_type,availability,booking_url,scraped_at
2026-01-18,bielsko-biała,Psoty,Bielsko-Biała,10:00,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1198511?lang=pl,2026-01-18T08:30:58.845376
2026-01-18,bielsko-biała,Miss Moxy. Kocia ekipa,Bielsko-Biała,10:00,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1211161?lang=pl,2026-01-18T08:30:58.845405
2026-01-18,bielsko-biała,"Rufus. Potwór morski, który nie umiał pływać",Bielsko-Biała,10:20,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1198814?lang=pl,2026-01-18T08:30:58.845421
2026-01-18,bielsko-biała,Miss Moxy. Kocia ekipa,Bielsko-Biała,10:30,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1198457?lang=pl,2026-01-18T08:30:58.845433
2026-01-18,bielsko-biała,SpongeBob: Klątwa pirata,Bielsko-Biała,10:40,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1198944?lang=pl,2026-01-18T08:30:58.845447
2026-01-18,bielsko-biała,Zwierzogród 2,Bielsko-Biała,11:00,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1198413?lang=pl,2026-01-18T08:30:58.845461
2026-01-18,bielsko-biała,Greenland 2,Bielsko-Biała,11:00,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1198686?lang=pl,2026-01-18T08:30:58.845474
2026-01-18,bielsko-biała,Zwierzogród 2,Bielsko-Biała,11:00,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1199382?lang=pl,2026-01-18T08:30:58.845494
2026-01-18,bielsko-biała,SpongeBob: Klątwa pirata,Bielsko-Biała,11:10,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1198582?lang=pl,2026-01-18T08:30:58.845508
2026-01-18,bielsko-biała,28 lat później - Część 2: Świątynia kości,Bielsko-Biała,11:20,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1198640?lang=pl,2026-01-18T08:30:58.845521
2026-01-18,bielsko-biała,Rodzina do wynajęcia,Bielsko-Biała,12:00,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1198543?lang=pl,2026-01-18T08:30:58.845533
2026-01-18,bielsko-biała,Psoty,Bielsko-Biała,12:10,2D,original,regular,1.0,https://tickets.cinema-city.pl/api/order/1198517?lang=pl,2026-01-18T08:30:58.845544
2026-01-18,bielsko-biała,Delfinek i ja 2,Bielsko-Biała,12:20,2D,,regular,1.0,https://tickets.cinema-city.pl/api/order/1198820?lang=pl,2026-01-18T08:30:58.845555
